"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14"
"4448",1.79678964968403,0.614256588774616,0.0940919272662121,0.0420763259194056,4421.95556166668,0,0,0,48367.6384446402,879260.32066967,1870503.8951407,1385412.02089855,1294141.56600636,2165935.00340727,4154831.29245043,2960705.39979366,2789977.90857663,2184044.71913952,2639162.38886614,3614110.50957911,2801266.94796226,1218593.79372139,1710742.83419287,3000311.6964357,103.140730688959,71.13702596662,103.90303033697,68.1055079999236,108.311921603976,333.825844080974,180.440532503912,163.015531514434,111.588429493146,222.093803333023,178.007979352512,161.169887917356,146.63594356314,159.431252143498
"4450",1.6812724967762,0.620820617938147,0.100598037926212,0.0380197673181294,4420.01026310824,0,0,0,49452.9649294878,898923.862193436,1914395.15545888,1421236.77748403,1332933.43536439,2242431.90474351,4325169.52575935,3100029.70821498,2960162.37338057,2319603.89777802,2806301.67941995,3851335.24480838,2998046.96434173,1307993.89945413,1851610.98396402,3556999.61369098,104.944866467405,72.8136818234758,105.259887906474,69.9882863970881,110.089289946007,344.931829407486,200.721801173171,182.469729482086,120.83683573961,250.497083780745,196.665421677201,177.604967059396,160.323696714756,180.537758046234
"4452",1.77965406265488,0.559428813860626,0.104507179014394,0.0380950529651722,4419.77759245879,0,0,0,47304.0765185249,859873.844495244,1736069.88972589,1283126.86040535,1194076.02158425,1994542.36384402,3788244.42527755,2682058.74056702,2543220.25259196,1989896.0239692,2406057.32208034,3307764.63529851,2574144.16349728,1131341.21261923,1618524.27401141,3262857.04672746,96.443737751073,67.1474265238974,96.4859929125835,64.6900107102658,101.108511391484,319.817464605335,189.472974187052,172.222732028347,114.126196182678,236.394751428258,185.669045934635,167.682910594661,151.390835847004,170.360795776429
"4453",1.74241136876552,0.615055230292172,0.103577983340112,0.0292707858019895,4420.92183515071,0,0,0,48809.2524231104,887258.135652863,1871216.7476642,1386564.75872871,1297089.74135541,2176798.65862637,4176432.96195561,2990086.48283693,2887530.90280347,2261424.80941969,2734096.20373267,3750029.82197429,2920248.24612235,1272663.03525669,1815550.90639062,4443749.60552109,99.1417072940346,68.9695937855501,99.2450759807063,66.4097142395432,103.952227879501,328.078947048517,217.262409632728,200.758143755888,121.327518322717,281.026766497837,208.990658838199,187.411708359513,165.505483792835,204.573576954113
"4455",1.89053625697413,0.573133002628174,0.0903406328143741,0.0381978347653913,4420.09928312901,0,0,0,46851.7882198241,851722.632530166,1758504.77969934,1298637.86270969,1206215.3869372,2006655.47604764,3811472.08256546,2686895.91283309,2514223.74110199,1965750.40774097,2373637.35926486,3252521.21190217,2520215.32028016,1100514.88293443,1559930.96216961,3082945.35082783,101.042434946442,69.4429639749743,102.052225765235,66.3251504614176,106.175354165437,324.027314674185,178.164872960057,161.917208339734,107.393386555276,222.204332176023,174.620133943823,157.71529949483,142.422092727936,160.11744633978
"4456",1.71872211666818,0.613174911472821,0.101095017026765,0.0384618797555656,4420.10913598859,0,0,0,48960.3728656224,889988.555316872,1881138.01304145,1394915.69707915,1305875.13111052,2192877.3073157,4215356.78773106,3015415.4859134,2875492.96240598,2252377.15371541,2724023.31355285,3737131.65667422,2906355.74039771,1267994.35928647,1794234.49809236,3428095.31288548,102.290824701542,71.0038135616244,102.564233135282,68.2688020168208,107.296583739851,336.593264272167,195.4287634795,177.531216977949,118.019457911285,243.505990542571,191.630664846305,173.109787292731,156.409018327591,175.419908370595
"4457",1.81233367446913,0.587772935716499,0.0947285508429218,0.0412054328317317,4420.16159677518,0,0,0,47684.6632793025,866834.327923345,1805103.19515074,1335387.60093532,1244431.14110749,2078444.58000409,3968059.87127842,2813437.46839676,2644424.04449395,2069205.85180104,2500454.38807549,3428533.00973841,2659756.52849592,1161646.30518947,1641915.31110759,3001363.42823768,101.746891055931,70.217358852812,102.454486723666,67.2517903229412,106.83689871199,329.822237630601,180.341644329159,163.134118119089,110.921957646408,222.604282383065,177.66226653486,160.772800216123,146.042156683501,159.929471805847
"4459",1.58796593075476,0.626718893695156,0.0999117129689851,0.0265579792516023,4421.70146814141,0,0,0,50462.2677242446,917199.056610617,1969823.418519,1466264.81415006,1380358.47400345,2331610.09418408,4527133.13620044,3253289.09007071,3145928.26841577,2467279.91120216,2987823.48865721,4109124.7623539,3216391.59507104,1406503.18177848,2022351.56929165,5399845.73988993,111.666895047609,77.4298510920624,112.052981315938,74.3948508188032,117.153784280114,366.443884665519,249.880068846241,232.309956163768,135.431965097744,327.510383451097,238.681331122436,213.451196529633,186.866385916497,239.262808919933
"4460",1.56675246563477,0.588667918902961,0.102979977435218,0.0339810766843209,4423.11088410371,0,0,0,49736.2854094936,903929.435930057,1881383.91317089,1399360.59220678,1314831.92795722,2218763.32395403,4287563.19681713,3063662.46597323,2929614.45214807,2297207.31137106,2783855.67192706,3838965.77759313,3007433.21784095,1325157.13389655,1910409.41182956,4207183.98058604,110.719495467252,76.9832811265972,110.878186882975,74.1001242795825,116.102796678602,365.897529403445,225.822321515118,206.725825216317,131.761236130087,286.19435591479,219.542415842124,197.679295068007,176.821511584325,207.164232792629
"4463",1.97345401943617,0.526130847679185,0.101377399073079,0.041332084593289,4420.61461510789,0,0,0,45422.6679434004,825751.102879834,1622305.4884788,1193337.84078368,1101529.54743231,1823240.47067927,3412321.48885783,2389290.20502465,2237384.76379747,1747078.37410052,2108362.41894429,2891827.54559229,2238089.46622012,982523.650993406,1399202.809788,2673093.04844884,88.9068055536737,61.729038043984,89.12785916677,59.3612120702705,93.2533772091819,292.742048021274,165.420895947428,149.609009607102,101.826354489634,204.101629773969,162.996667440944,147.512741510707,134.028455104021,146.618567957997
"4467",1.98824747435388,0.531551268579834,0.103118224320239,0.0289580283236522,4422.08127198842,0,0,0,45449.7659832417,826252.479018097,1626432.20686106,1196116.80327105,1104064.29806844,1827444.70528136,3418840.40671864,2397206.28049378,2275181.00187794,1776521.40349582,2143401.03778562,2939398.3334682,2279166.40628869,999402.451451112,1438028.69780533,3791787.11039963,87.1631073974596,60.6119183893296,87.2801548201825,58.3466085314817,91.399065927015,288.140250420956,191.369104810751,176.95104984488,106.520601826488,247.896566271944,183.940874093102,164.898947367775,145.486138949965,180.528334360972
"4470",2.02505424158888,0.544587548372333,0.0885311034783244,0.0362842489490626,4421.4813209271,0,0,0,45507.0509767605,827313.199962252,1668237.36398511,1227853.76097071,1133847.73541587,1874301.07414977,3521346.63465671,2461705.07937,2292036.28072684,1789483.2017636,2158047.13969119,2953970.98285493,2282800.11146441,997113.234727588,1416686.52003056,2991202.063285,95.774100655344,65.7076002861327,96.8533600104522,62.6836424779833,100.670468573104,305.736264073462,169.893654070042,154.892603979042,100.974432472406,213.385510643031,165.925890925332,149.662360288285,134.594529986896,154.070637529773
"4471",1.83417108636306,0.529411905477266,0.0997331633503094,0.0301377003536206,4421.75302262448,0,0,0,46297.433718557,841584.639743518,1666483.95206682,1229488.08697376,1139807.97926778,1895876.28550192,3578311.38302301,2511920.62498814,2374093.58802853,1856057.92289603,2243382.76183417,3087495.73369108,2406164.05082129,1061544.56296752,1538645.34303186,3945124.05565395,96.8038106084023,67.1129880215644,97.1500112403394,64.4754803458084,101.563311505408,317.537949947813,203.592698160208,187.782607743568,114.695995217915,262.298473304905,196.252237502043,176.131324511638,155.942236145428,190.732715833769
"4473",1.75453869080904,0.539707544151581,0.0989359046937926,0.0380546466504679,4421.76919718094,0,0,0,47047.9402800323,855181.574958963,1711966.47820115,1265776.2784463,1177378.18817875,1965421.17435793,3733080.95399912,2629016.00376706,2470884.04189609,1933274.90256332,2338739.2533049,3221356.33239127,2511729.47724283,1108997.81099429,1596854.17306761,3283390.36531195,101.792427993135,70.5207112533651,102.210623662037,67.7168159324453,106.810983324832,333.282513446167,192.268222535471,174.774950374874,115.776513436347,239.917065003664,188.394500085776,170.139679928378,153.595973308153,172.906358455452
"4475",1.76907083989671,0.576061039131662,0.104109399616627,0.0331517633136485,4419.36672388513,0,0,0,47743.44687622,867868.127602432,1775434.7174507,1313242.41051685,1224024.21226622,2047440.99277743,3900844.67064068,2770977.2873677,2646825.48704502,2071548.72173343,2504682.53343668,3441163.45965633,2679649.38460427,1174737.2177278,1682949.78253503,3798587.11945961,97.2877272384742,67.711444165396,97.3554926220052,65.2183787222658,101.999720835887,322.328761975364,202.171426020612,185.361016270634,117.128773072977,257.090338940583,196.207810777992,176.551087254636,157.596208001638,186.273109912209
"4476",1.73377344656329,0.62394970734508,0.102542807705527,0.0323471382376607,4420.54602222751,0,0,0,49077.99594376,892145.346337304,1896787.94273572,1406267.73562211,1316752.7243763,2211478.48935852,4251391.75094924,3048227.32800634,2935863.71000639,2299660.14836614,2780417.65000168,3811761.86461487,2965865.17593633,1290933.74773377,1832294.7509936,4058314.17662636,100.361994762926,69.7547335619598,100.534581702555,67.1251179374302,105.249017373719,331.340208688524,208.549451151854,191.503018304745,119.967117220676,266.095756600921,202.046446314884,181.683820707114,161.841270793707,192.978452774266
"4477",1.90905793195848,0.542736256693141,0.0941099693954693,0.0345433785762168,4419.35563508886,0,0,0,46117.3998628126,838362.092302576,1683228.64845927,1241002.61441294,1149301.70926442,1907612.15267526,3598981.33924666,2524920.50572001,2368501.12075261,1850832.87112326,2234887.65641126,3067345.85455371,2380527.68311225,1044569.89770689,1496271.41010191,3328812.95102447,97.0614184098581,66.9452019946598,97.777584184587,64.0930440398825,101.927503406126,314.163258475159,184.019447000677,168.285481111513,107.872567977173,232.691292095959,179.107915984116,161.342242239793,144.515319819922,168.329412512298
