"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"839",1.96790155595894,0.484746608420734,0.111774281053354,0.0376029070522727,3071.99187713234,0,0,0,39434.1706709739,705584.165681468,1439309.54005806,1058365.51595682,946809.074107304,1536782.65530569,2709653.87167724,1779535.95212904,1635699.85112037,1513630.56181696,1991900.54786073,2512319.24051188,1755341.67965049,71.9254494039593,56.7724748855063,77.7964091686928,50.3823891533687,83.6890694029571,236.254630609952,145.208172959249,104.28359807723,91.8353533078971,203.756539316311,161.292280889274
"845",1.77048078465604,0.537445944183736,0.100395460313229,0.0325949009602642,3071.85872551026,0,0,0,41423.1289446147,741104.485614345,1598189.39700542,1182930.42034461,1069244.46799659,1752968.61359208,3159982.66670248,2097649.25102537,1935083.07616278,1792827.14266165,2358667.26084682,2971113.07227653,2302171.97719432,86.348192675678,67.4879170411699,94.0833291484301,59.5039384304399,100.64952253428,276.579031126664,171.568354515874,124.316520037113,104.224873260251,245.509781358088,188.682279643347
"850",1.80604845198048,0.610509708540579,0.0937871256900153,0.0363871391041736,3073.39402032383,0,0,0,42597.9919240847,762196.110570231,1748218.60128862,1296578.08521541,1177192.20731756,1935133.02174835,3525636.33986957,2366378.06525386,2180162.36403189,2007964.74999514,2608204.1237082,3206351.93702617,2090949.83365695,88.9918744658607,69.1340403096983,97.3953504258725,60.7092888917504,103.84340052742,280.617993197838,160.389060532794,115.420909327296,100.523565170237,226.074121009032,177.751781493234
"853",1.69842310600161,0.614408000282905,0.0950250076368268,0.0248092723008601,3073.48401256058,0,0,0,43428.9653380399,777010.592842237,1790936.83260576,1331599.29242613,1213515.72626175,2003496.56309165,3673423.52401546,2473351.69995908,2313578.8597536,2136380.58199973,2787595.20528471,3463710.71786891,3259777.71780663,93.7168634360005,72.8887836339878,102.480139526024,64.0560240538964,109.33443791895,296.403860542111,203.824180036711,150.23498822577,113.925938601477,302.676579200375,219.788377808046
"856",2.08977185272423,0.443933636891754,0.0946423820589351,0.0427511168989538,3074.4694200073,0,0,0,38260.0847687851,684601.473619684,1370373.79800298,1005154.45920731,893753.424799068,1439340.60389746,2514636.01333422,1626075.70446842,1457439.75076182,1348420.17488147,1776810.03759091,2246223.33355229,1428918.88146153,76.3942243257098,59.3948700246621,83.5594083773317,52.1848799791587,89.130696725272,241.393669793161,129.98785003675,92.6211645811502,85.052585154382,179.235541066176,145.641071415128
"857",1.72959994978989,0.608966504923416,0.10175971152293,0.0432200810829145,3074.69071085806,0,0,0,43091.9932027351,770995.593638765,1754413.01862391,1302502.30397233,1185000.11205173,1954407.78468772,3566567.52457962,2403620.93559552,2220372.12391556,2048045.78856395,2665888.10386525,3281563.97104237,1838426.96459879,87.5260164833446,68.4919489351022,95.2809297576406,60.4380726683666,102.000102684476,281.231617280978,156.409952719021,111.374186289159,102.627274890817,215.349328118428,175.371359463609
"860",2.15482839407927,0.465599177721436,0.108571317687426,0.0379733086375071,3073.8517822441,0,0,0,38380.0691996338,686775.896780147,1378831.38189813,1010311.13746462,898299.007212024,1447379.78608195,2522375.11159748,1643233.92138329,1498060.20418674,1381783.90798905,1810838.10921502,2271317.12042997,1574683.58927978,67.0553278621487,52.7853468661411,72.675664652574,46.7611000474013,78.060669367701,218.749901121609,132.081256732839,94.7988114679833,83.7567193257921,185.088280671226,146.809937022228
"864",2.02306911367657,0.508753226480103,0.0999598196470586,0.0393709964571634,3071.92287519264,0,0,0,39605.1146394686,708675.174773977,1485871.2847431,1093262.44566345,978797.605868935,1587585.27166412,2810728.06539929,1846684.60862153,1681153.8978993,1550763.9185992,2028332.23796213,2530405.10224279,1649669.84603643,75.807146215452,59.2260606717638,82.6218348119108,52.2058938338434,88.3688292174287,242.570802844125,138.647405481424,99.2900076011031,88.7813049619061,193.33169802171,154.488255803797
"865",1.70771998287394,0.56767530997413,0.107877953233093,0.0368514845229009,3072.20911827791,0,0,0,42423.0834759417,758979.725428046,1664894.67827511,1234570.24408423,1120458.05860264,1845671.72153335,3347099.28002765,2243434.41435117,2087721.46110975,1932563.21111426,2535108.2295791,3170638.10600837,2141239.55482135,84.9990113802179,66.8707999503451,92.1640507786686,59.2159634615972,98.9599322093735,276.868311439126,168.730611009754,121.328232745325,106.122746560632,237.418852221783,187.1601570945
"866",1.69283436632877,0.608039630576156,0.093317813843201,0.032833118438774,3072.70314768456,0,0,0,43342.2324795764,775450.079846381,1782488.83305417,1325453.07630895,1207690.82169787,1993365.98187323,3654902.78130843,2456609.18041762,2272275.23866127,2098668.49789528,2738944.29726539,3396519.97260139,2467245.44088925,95.2976241930615,74.0001375182617,104.330007901056,64.9632059581258,111.210203827906,300.158510252717,178.858437567285,129.539770097912,108.882972137041,255.686319618606,196.800850297412
