"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"552",1.82830922667447,0.581593974914253,0.0921265500991725,0.0327521494387212,3439.63457542965,0,0,0,41911.8915431976,749912.586900849,1684518.12633772,1247808.67818842,1129853.10058952,1852449.30025297,3358803.20711208,2239892.2494729,2045773.7977228,1875002.22649154,2418219.83272827,3342900.44682326,1887631.47720233,1895713.29088387,89.0834709436268,69.0971001268276,97.6066256648838,60.6131613224047,103.979188104596,279.767259782272,165.786762074628,120.091054446817,100.853266975919,237.080004548275,182.386042368194,164.862663603725
"553",1.68839461975219,0.625089524164268,0.102658077046037,0.041825729302035,3442.6324270036,0,0,0,43721.0791070614,782239.528532271,1802129.8950203,1339755.30068695,1221894.76533139,2020406.66532803,3702669.62170186,2505751.62019326,2313061.5073702,2121750.61273659,2734963.93103174,3767945.55667651,2106149.9421439,1640470.81366733,89.0926967853591,69.7735357626363,96.9293030780424,61.6014853323601,103.810993735443,286.851775401766,162.240044397406,115.756007767699,105.557351626055,224.372613587401,181.513032283539,165.122638269047
"554",1.74879513852808,0.551871009100678,0.112581198409992,0.0338137834051098,3440.13916721262,0,0,0,41838.3915893705,748532.423777749,1613125.29660745,1194025.34353142,1080740.56828274,1776133.74342083,3201777.33022384,2140952.24006613,1985565.72156939,1823755.83152882,2362677.91160315,3292914.02186045,1881048.78449569,1893947.61111499,80.5270761248546,63.6047607947392,87.0561713044682,56.4704881488435,93.6860686398817,264.959897760574,170.909529115183,123.555090767028,104.928367201809,243.338829879058,188.444931294105,170.486012328164
"555",1.83675036245971,0.550067091595512,0.111177550152952,0.0363752131538804,3440.23103676227,0,0,0,41272.54425052,738457.082379308,1587251.91038377,1172673.35523451,1058398.90274621,1733474.18789019,3109852.25188023,2074433.49620708,1915390.93407283,1756752.26038304,2270962.9485099,3153758.23094843,1788879.34497315,1675848.30940095,77.3534716234459,61.0264144471287,83.6988530454561,54.1398196415846,90.013023785861,253.762312713009,157.729716902836,113.509474356953,98.8478478948529,222.335671773464,174.800590764676,158.448781690281
"556",1.58111954209794,0.621071841439266,0.0932094921016489,0.0314463579155781,3441.70806622154,0,0,0,44519.230745564,796437.81102514,1856147.51689596,1384798.94858532,1268000.18772141,2103924.12259794,3890853.22071364,2626964.47335729,2423661.78506521,2227513.55103184,2880545.16024266,3993727.31252244,2268950.69919912,2322265.07418771,102.118977545304,79.2889586165653,111.806182798641,69.6013972801756,119.172728927628,321.558628852944,195.238666966631,141.786097137622,117.367267415814,280.757785310655,214.167711903176,193.376361863561
"565",1.79435645043838,0.629252026579084,0.0931391302266015,0.0291997546258941,3441.32033101307,0,0,0,43033.0175301659,769985.769593236,1793456.1072329,1331268.97002935,1210740.57071172,1993142.0119015,3643651.73702982,2454025.25287774,2271025.75762463,2080160.75985351,2675286.11726169,3675784.93497575,2061710.7356891,2212244.66853386,90.0339033905779,69.9010355803474,98.5794439492728,61.3577693786716,105.070697670916,283.455648913183,178.044864504287,129.90230121731,104.689478497038,258.638559306908,194.2732251979,175.054148841406
"566",2.02180990987466,0.478830954503143,0.113256143020651,0.0414627836591651,3441.26623471373,0,0,0,39103.0787674432,699677.913974551,1417251.35758445,1040854.06437771,929339.974590092,1505264.31542531,2643272.76666085,1732912.81419485,1573696.01044037,1442068.95426121,1866957.58503347,2604673.29820933,1482047.99113703,1294555.66714867,69.3604282496714,54.8154496066702,74.9525758187082,48.6848426208033,80.6864535470224,228.541980533409,135.941241598422,97.0437390333187,88.2463622746095,188.225176190722,152.001680862783,138.246003871536
"569",1.61250935416474,0.609783728637164,0.0961438046666107,0.0284634212339149,3440.93147150479,0,0,0,44009.9811155728,787340.865228513,1811127.79223535,1349259.90753555,1232909.56352442,2042191.30752398,3760024.82143187,2534637.67827516,2348711.50288531,2158383.89470348,2792012.96524447,3875647.07627334,2209661.28150924,2502295.95106262,97.8610822194959,76.1908287645888,106.930880059924,67.0043304281393,114.14818958139,310.342337850655,200.544272742772,146.552613066988,117.007267486154,292.337108274407,218.420943412187,196.672431960733
"570",1.77929645735218,0.503440486543766,0.110212510160814,0.0330232070667917,3441.02002328918,0,0,0,40715.6882341766,728423.528036723,1516522.30231083,1120189.52233832,1009250.4943054,1651177.22965632,2951248.64752987,1951459.83267362,1789598.5899147,1645808.68546545,2140383.20083992,3006618.95607834,1737372.9558147,1864410.78792797,80.3460597886156,63.3358633909109,86.9898139730689,56.158782745105,93.5091429891982,263.036841424721,169.732955478268,122.886159151853,103.500215247593,242.449040614451,186.836089815454,168.922823417063
"576",1.92097257170385,0.489178340934714,0.102908028188378,0.0417502472107976,3439.65054500271,0,0,0,39725.0484792961,710770.390790098,1468079.44195295,1081248.05871091,969128.432739467,1575272.01811408,2792510.65105958,1832312.20804637,1652235.62988951,1516146.75096298,1966162.6428712,2749131.61399977,1569483.77357523,1359200.7864894,78.168287125578,61.2315448465399,85.0300808778551,54.0678628636915,91.0782304632177,251.821114833472,142.69629772463,101.823025397252,92.7981599948046,197.39272069601,159.628400730432,145.207613336709
