"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"4871",1.65731245213777,0.595688463292744,0.092150612589226,0.0347650108861439,5103.05499928503,0,0,0,49078.4102965788,892070.668553928,1883276.04358745,1399029.6815403,1311439.60501982,2207674.11855826,4265582.80584133,3030492.54694056,2861400.63233471,2243632.27910519,2711130.94954485,3673809.71825342,2789610.80536487,1499453.08138479,2520285.28655673,3209184.19697266,6880759.6139748,113.56648515769,78.1848953354291,114.558047345256,74.7613082111691,119.299129950116,367.234946016731,211.498566084984,193.360540774282,124.220457998144,267.196478744849,205.903572998689,187.0727210488,178.924287785547,250.942914344684,318.740986914549
"4873",1.58810361192785,0.634649324927622,0.0999333918822366,0.0308594784377092,5100.74526295529,0,0,0,50654.158164888,920696.823603037,1989114.63868794,1480973.49705979,1395024.96765811,2361273.56470502,4594061.03232974,3301832.15209228,3180686.40876593,2496311.55461188,3018281.02677689,4093555.6379432,3119146.18828606,1674487.84656198,2799897.510652,3536542.91046398,8226725.45650281,111.639548480396,77.4123999801349,112.023930340474,74.3790486992194,117.124684311148,367.780046201769,232.70344779285,214.33932925025,132.038885760421,298.826706004086,224.64755469705,203.444839079268,192.632756019265,281.925639567475,359.810334407956
"4875",1.75563596085691,0.613075830177453,0.087602273419639,0.0394374988079218,5101.29274674537,0,0,0,48659.8584026471,884548.781750628,1896893.80682485,1407063.40247873,1316387.55422769,2208909.01048996,4260024.84823864,3025498.68412071,2834878.16053714,2221236.25735749,2681478.11617684,3629051.82906603,2749189.85498316,1474613.84809105,2464447.15768538,3102147.22720356,5775667.83760199,111.352933439912,76.3268182689686,112.681186673125,72.7696582948128,117.064445295129,355.990682031985,189.502118010805,171.901997190055,115.226986838633,235.307777189967,186.097933017795,169.635301896558,163.898141264055,219.91298101507,277.87451979982
"4877",1.54120366967187,0.670955523241892,0.0964847533708631,0.02853303392592,5100.764640658,0,0,0,52051.3367434935,946093.641436022,2113029.29387232,1577298.9203222,1492137.7615965,2534624.29510441,4973760.25774069,3597027.79323604,3483514.75603501,2735854.30418378,3309077.05555937,4490055.9788935,3430468.33209581,1839398.6883256,3059959.63817175,3831940.74518904,9314274.84114041,118.035391397866,81.5908456212976,118.715096636248,78.229948013115,123.904324302157,385.713226590051,248.750140670419,230.249251517852,137.855517240097,322.867077119447,238.791020449631,215.782978450025,202.915386306442,305.497185148089,391.085780487967
"4878",1.71918934882541,0.645590218349285,0.0949820922203986,0.0310856354799052,5099.3997788563,0,0,0,49687.1536819202,903227.293588852,1970421.69789356,1463251.90977315,1373278.78770496,2312967.8542702,4478390.60267677,3211118.13492562,3079184.11126072,2414126.08519026,2915103.17954955,3947226.11758434,3000405.72391632,1606269.78767881,2672236.23855519,3345713.51163034,7583552.37469023,107.047670919394,73.8929421277813,107.773571265043,70.7833161858831,112.398133096296,348.551337602924,214.242992297417,197.245350324281,121.827237462751,274.845979298858,206.933981329651,187.440741276563,177.591168023002,259.229956594515,330.749396658882
"4879",1.82432990698724,0.633744002144947,0.085408844445054,0.040278734238088,5103.1835985211,0,0,0,48577.1124567569,883094.07959501,1925551.29108551,1427253.70695084,1334391.42937139,2235673.14841563,4310140.27543157,3066180.40824769,2870657.35348969,2248437.3242864,2712586.1998951,3668085.82569193,2776454.9427611,1486352.28293295,2471262.96806687,3081125.72708898,5494374.02889061,109.236349281349,74.7149177554041,110.710982928937,71.1288106724874,114.882975105357,347.254095172613,180.848439490365,163.839571953029,110.583635249528,223.916471697527,177.85319894576,162.20689876722,156.978112936718,209.093654326045,263.96951700192
"4884",1.68883481841908,0.652578306092791,0.0970179444351632,0.0400386728170899,5101.44273924437,0,0,0,50115.63621359,911003.462260453,1994902.30916043,1482525.82607969,1393324.46889213,2350681.64574005,4560366.61762165,3278578.23014442,3124905.87268265,2450720.70428469,2960333.78224448,4009226.46613462,3045192.39673379,1632696.04277801,2714742.67254145,3383225.27776641,6018539.00913588,107.281418464644,74.193597675071,107.860486109519,71.1606844341668,112.605792799789,351.01597881205,195.818843258771,177.467055623266,119.548225175159,242.649754775676,192.498045815072,175.536797847519,169.7997407467,226.640042534114,286.19282552204
"4886",1.67116288289308,0.668555576925485,0.100922471765782,0.0329250197135919,5101.94891008301,0,0,0,50648.4028784102,920690.427267001,2031646.25112342,1510568.96858066,1421795.54918865,2403094.07644552,4669624.08895099,3373369.18550465,3266309.89723913,2562362.29979229,3095463.11056548,4193332.50168594,3192207.92596571,1709199.08408032,2835793.98715243,3529284.38182541,7442156.96541666,105.332651660414,73.1039768462575,105.626208830459,70.280872355863,110.490325757383,347.796149518746,214.776058914891,197.025174896565,124.200103384223,273.368511621132,208.297104442413,188.97139340611,179.921777758819,257.2751769478,327.504094179781
"4887",1.78173998046394,0.599394854262244,0.100545351917081,0.036167271186318,5099.70453275135,0,0,0,48158.9230269054,875447.21262019,1828859.98027423,1353735.09586962,1263613.35257787,2118669.61434912,4055309.18767837,2885493.3312764,2746853.39637018,2151524.00115532,2596618.09971338,3513318.35045646,2660264.08664181,1426571.38572392,2388499.17695364,3020506.99337216,6165459.94034911,99.0650843745177,68.7308775220515,99.3659155658792,66.0618350739956,103.922159900726,326.817388140224,193.455207423356,176.429746628091,114.888848287527,243.079527961729,188.856330393654,171.764102826111,164.815081921389,227.944420960901,289.060369032656
"4888",1.87896504423869,0.619479088489159,0.0968960385298326,0.0326137667044367,5101.94666671059,0,0,0,47882.6795460749,870484.692796143,1848327.08922321,1366497.15258787,1273725.02884562,2130323.54474944,4071187.15261427,2898934.50901676,2767381.80004893,2166297.04685033,2612004.82221816,3530353.28378292,2671422.75612842,1428134.91216572,2377296.44966934,2979983.48699698,6540613.75307899,96.514915191826,66.7402428381186,97.0438225020849,64.0072306281944,101.306972310786,315.697574728859,191.829877522519,176.08011329946,110.626170639771,244.480606828938,185.918253278264,168.625455811733,160.421314143502,230.171190650005,293.113179627643
