"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"336",1.8775512338802,0.590029757176207,0.102841729306239,0.0373147795614928,3442.65973534434,0,0,0,37223.4425151461,752603.152395718,1670550.75228832,1233003.14736531,1115082.39165323,1827386.46029187,3300729.4788206,2203773.59242245,2034742.98211777,1863465.99544324,2398623.20151413,3302730.31506736,1848498.29245642,1627657.25031822,80.3881286315215,62.6731661279405,87.0408812831218,55.3386782064943,93.228999777142,257.726320941072,152.375333452188,109.700161307186,96.3564487000268,214.463557546935,169.499579996328,153.746055700962
"338",1.83261014449892,0.616260233401086,0.100072702947909,0.0352782938023553,3443.03818307917,0,0,0,37901.1413501084,766301.248809272,1742348.97916512,1288463.84980289,1169083.1642799,1921511.25831515,3494671.91498735,2344520.26050059,2172994.96513405,1990209.65463607,2559416.1513357,3515896.59061859,1963605.32519042,1784036.04515159,84.0125822124402,65.3341449079626,91.1266913835778,57.5938641000733,97.4707807560397,267.63032013401,159.812885757772,115.464569058389,99.5055496319095,226.684738082455,177.096308248424,160.400194889025
"339",1.78469630419314,0.601488459889141,0.094349378641768,0.0373743821680368,3440.97940170116,0,0,0,37930.5141902905,766864.924364601,1738364.8895227,1286938.24884628,1168456.23809427,1921282.8898822,3503087.53298976,2340588.66872919,2145404.31626999,1966949.70052307,2534919.18236719,3495824.95445447,1961695.28856112,1718023.57403853,90.0924030371022,69.688579760474,98.0873971686721,61.2178224485619,104.61156861488,283.106244393169,160.198196912561,115.32047874147,101.3474212436,225.424265258433,178.220788154165,161.663412811035
"341",1.87953040644941,0.583557999442474,0.0937914226833536,0.0339452052386991,3440.6948050139,0,0,0,37107.9650700352,750265.789921377,1674024.79045898,1236166.58762833,1117686.0207079,1829600.94816592,3310480.304713,2200267.59831843,2015731.08230036,1846384.69596139,2378004.47990037,3279264.62323847,1843264.61859302,1781325.47749654,85.9243998937623,66.4291921351691,93.5841361031333,58.3342140067143,99.7800863385079,269.640632747504,158.419930735916,114.739068492791,97.5730894783363,225.910410132425,175.088937699012,158.419337205226
"342",1.91331751847909,0.575526483617606,0.102410355036515,0.0293191175984329,3441.75213545549,0,0,0,36808.6318125252,744222.411233904,1633285.73860718,1204157.75056968,1086743.7978896,1777127.36292683,3197662.31975895,2127296.40350075,1973031.87165409,1806853.19510459,2327136.24927407,3211582.87137079,1812193.93950183,2017506.06593056,79.1264413797643,61.6654906445574,85.6983135231284,54.4351664193599,91.7713707113868,253.431100786221,166.273064697119,121.560209438717,98.1125164993343,241.956656655893,181.897270342305,163.921164444866
"343",1.64014791246242,0.583847925616118,0.101831208954116,0.0269717679027957,3441.83136914579,0,0,0,38534.2668133936,778963.260147044,1735857.9834175,1288079.88273895,1173419.95312102,1939272.82338839,3548912.07383152,2376080.24490234,2212950.22511835,2034947.50861928,2636682.54356655,3673684.69877709,2107519.88642018,2565752.63873861,92.6863404872709,72.1952238725236,100.421545084952,63.7085708763969,107.507054117499,296.467022215942,201.900532907184,148.39723474361,116.138793187816,297.180820166714,219.567921795317,197.405265848264
"346",2.11129835951919,0.462439475809925,0.105414370162404,0.0277218730363322,3442.3741454572,0,0,0,34293.125956623,693377.156397817,1387233.19281166,1015214.45153537,903405.91210503,1456807.03459949,2547064.51872626,1652204.81213501,1504264.34229886,1377781.83805196,1783304.45684636,2491563.9583304,1431248.66750045,1836767.20317049,70.2225870140361,54.87392103839,75.9104934815348,48.524418683189,81.4102794033256,226.449140220005,154.761924268997,113.550961653503,89.7791280867404,226.944192157218,168.633494625986,151.729696670453
"348",1.97980541257681,0.54934303753125,0.0956568508739415,0.0332786198334502,3440.5419836424,0,0,0,36089.574564691,729694.775689139,1578672.97116751,1162060.61293913,1044991.67681307,1701446.58354038,3044964.28713329,2008401.66205475,1833443.80108194,1678367.25998872,2162537.4623512,2988315.03515011,1684925.79562489,1698753.54975421,80.3899171366166,62.2605651441951,87.4483774268138,54.7372023035695,93.3274910216479,253.420051570452,151.70281013951,110.013092134872,92.9086883984701,216.926360307842,167.435481459964,151.413774916337
"350",1.71624719021348,0.568557828464175,0.10184676333921,0.0402185419756504,3440.58367381106,0,0,0,37766.2709904148,763479.267246381,1677728.7208679,1242012.68635519,1127213.87918641,1855570.29486912,3373034.22407957,2248415.9121998,2061453.24448413,1893727.56496521,2451057.41640212,3406961.91070203,1931463.70633233,1636026.43468208,88.5667413169901,68.9873602707935,95.9571879954772,60.8783545687124,102.728496819335,283.300191763505,161.753983666678,115.904789146856,104.362728821224,225.322470916124,180.83593131139,164.344693645353
"352",1.91758275144793,0.474200685022397,0.113014679684793,0.0319352010801605,3441.53194065446,0,0,0,35173.9301228636,711115.550892595,1432627.31078159,1051889.72201363,941481.15013761,1529570.09855498,2701083.7213329,1766076.78587792,1618285.54865508,1486575.24842291,1931651.42675109,2713050.16965484,1567541.1207142,1765393.33334543,73.5705173904263,57.870176447539,79.1572575036481,51.3912109448617,85.2030737832988,241.204158922037,159.515359978803,115.983540323086,96.5373468942608,229.401884974317,175.554901848755,158.578923377299
