"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"4558",1.74915963221253,0.538895730355507,0.101489230781017,0.0315276614549607,3924.72523628473,0,0,0,47067.7619723049,855536.910442532,1707542.50744679,1262381.96262103,1174251.83955726,1960795.13668153,3722301.40764665,2623509.28327525,2485999.55425583,1945190.86078494,2379612.50631469,3333316.02846757,2750127.85099249,900523.7354771,1414938.93678571,100.227015667317,69.5957335609463,100.468820379629,66.9305806565972,105.125140001373,330.10048149844,209.11617916265,192.332440010798,119.393506888746,267.758428563374,202.226692292699,181.718664326241,161.518022140579
"4561",1.81443146714787,0.539717049391931,0.108495533226157,0.0436867952951876,3924.94136097002,0,0,0,46642.8677869572,847860.101559096,1678349.66362838,1238384.28442837,1149325.39160321,1915345.85414792,3616065.12967128,2551856.55644388,2408608.66571414,1883567.14827266,2301024.75242598,3214335.73093527,2634116.08792663,856121.371383074,986444.816724901,92.0902858423459,64.3377573952222,91.8947992470726,62.1239540358347,96.4844747067827,308.077530410867,176.162198537726,158.788112670774,109.997175825471,215.726461593861,174.219654432957,157.886382557927,144.053604397318
"4562",1.61549122285576,0.598044997388772,0.0927786652966222,0.0339539806706106,3926.28222296678,0,0,0,49506.755712973,899821.612549612,1904305.58697455,1416187.87171752,1329640.52113033,2238844.2538277,4332881.42695012,3087017.36379886,2923095.47967831,2291312.68524697,2801881.80043482,3914833.18648498,3222617.3129225,1043457.60866354,1461067.28310995,115.91890664198,79.8517676670049,116.880563793719,76.3856451807884,121.757460073056,373.984135750509,219.085331615417,200.568537167017,127.801291351551,277.686663005038,212.980848293046,191.767060458695,171.521693643744
"4563",1.9563356111625,0.545819162980248,0.0921012806564971,0.0413412201251702,3924.96724285572,0,0,0,45905.8073507735,834537.95517842,1680961.57730387,1238506.63250662,1145797.67986303,1898894.6889757,3577313.61367057,2507438.7592422,2333645.05227611,1822972.45856282,2221022.72829064,3089124.61980283,2516204.48307087,811444.348346932,969593.052316509,96.246396798657,66.2577794756107,97.0900312856221,63.3544711453641,101.105591522357,309.998982911842,166.854084065206,150.903169177073,102.714494270604,205.863752587027,164.41128243221,148.793798962505,135.19469041088
"4566",2.04642429366271,0.454619130903978,0.104096931636294,0.0344257423828069,3924.59824159032,0,0,0,43689.1846016713,794228.526706925,1472106.5963414,1078603.9075429,987932.671097313,1623227.38159042,2988671.17553793,2061383.61067295,1921372.06277379,1497923.23459184,1829829.13039983,2563733.62034174,2108145.27411317,696524.292076436,1066823.79390703,84.1095108411761,58.5388756820589,84.1687790000617,56.3831274556155,88.1834097143366,278.659565802314,171.919795089652,157.253836501422,100.682297465151,217.49312414544,167.291264340659,150.683965206945,134.930504806525
"4569",1.83439258730455,0.553965795942348,0.101816061459127,0.0362036668123382,3922.9248299177,0,0,0,46815.0717270366,851013.821923146,1713134.32086581,1264711.30216186,1174561.78969682,1957030.18073064,3705474.63493819,2615653.56195959,2474757.50788088,1935319.39282809,2362098.85100806,3294628.71144741,2699154.31767489,875005.923389695,1183944.25346401,95.3472947234385,66.2266224869374,95.5567914415559,63.7027806254071,100.001719569928,314.263787931084,187.726720140157,171.174710064512,111.504495646101,235.855625468002,183.314261125639,165.336721378936,148.664010172655
"4570",2.05528878421977,0.439126583281388,0.105453476665048,0.0421387242007523,3924.87531962901,0,0,0,43358.4318121608,788210.733538062,1442029.76997429,1055724.81802234,965463.387611545,1584070.26185656,2906256.71679128,1998459.43207442,1849434.80710178,1441387.93582383,1761673.55888906,2470573.35813462,2030415.01606731,671857.487433819,862611.851156727,82.9698571242845,57.8141524585979,82.9553859947068,55.7286492403278,86.9699944964169,275.717792208712,157.656545798539,142.418931001967,97.5357028597685,194.011256529139,155.54647903378,140.838255095837,128.152136729672
"4572",1.92979874875908,0.520526303662727,0.106939931178741,0.0320791865274241,3924.29386241366,0,0,0,45549.5138614168,828034.388818544,1613078.14911356,1186845.6683876,1096197.41058121,1816936.90001028,3400265.17317829,2384174.95524087,2260667.13444165,1765762.99649217,2154860.31492466,3008616.18416404,2467861.6253059,805073.56724781,1250546.03105217,87.482640773913,61.0371968137656,87.3837515765135,58.8853142136544,91.6790648271154,291.670508399856,188.064805796669,172.782758074586,107.92138098817,240.232332616137,182.093128894855,163.704375492627,145.722250388825
"4573",2.097119511798,0.462624251382061,0.0952799822754638,0.0445321061883072,3925.14956209869,0,0,0,43623.9505689631,793066.281535943,1488622.18680803,1090700.27863011,998636.747712336,1638459.53250006,3019836.554916,2079263.8158687,1911261.04032076,1489581.67132077,1816911.75944858,2537945.73628495,2073955.54360444,679515.675768857,809084.239559336,87.5533805788682,60.4531238770024,88.1292805139193,57.9198062604487,91.9249462093916,284.189804401127,151.332867613603,136.249927358079,94.9525132391627,184.841349057998,149.852283146393,135.867070350118,124.139151989842
"4576",1.8149616060786,0.566843194812935,0.0934604419132573,0.0273903425136638,3925.48059178134,0,0,0,47218.8756122323,858352.95489594,1761352.1067815,1302230.07244655,1211630.02672509,2020733.17961299,3847017.12859432,2715382.71961632,2573836.85355852,2013446.66457762,2457125.67861186,3426548.34246046,2813210.40484288,912169.881263085,1589026.81335897,102.619278279874,70.7355362409607,103.422300829878,67.6942649748491,107.775669442006,331.628409658103,215.332436820961,199.805070649413,117.832587487447,281.05485503999,206.143218011884,184.51395649373,161.985059535144
