"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"61",1.75931451913772,0.502576915210332,0.110119778066037,0.0433451314112096,3074.1508619909,0,0,0,40812.6389734055,730142.880359695,1520118.80182267,1123321.88184026,1012661.63370129,1657921.21672942,2966306.62520711,1961746.19293156,1801717.72358231,1673537.59239055,2212526.58832864,2802736.65911261,1717665.60380865,81.307164610966,64.0884701059135,88.0355490176409,56.8231903321315,94.6290480771181,266.130373708833,153.601037140181,109.354917396707,100.85858044437,211.399198606148,172.254743527789
"62",1.93181011181697,0.481867878703649,0.101346382348716,0.0297025397248516,3072.35298067002,0,0,0,39545.0401093921,707550.149132566,1454985.47134879,1071214.99484844,959315.905252161,1557797.11246653,2757603.71182678,1805506.32308116,1654981.62697306,1533789.4984102,2024198.29150793,2570542.48861394,2257265.59341003,78.5962510420107,61.4814670266758,85.5832409583057,54.2386954061567,91.5996879155419,252.300424542564,164.054273628808,119.566545501366,96.9610649806268,237.760852467849,179.227241303246
"64",2.00309412174763,0.473713076672115,0.111695188139195,0.0241856292676799,3075.093692882,0,0,0,39093.1983780111,699491.499395944,1414129.19240441,1038811.24398844,927616.511154158,1502666.43777276,2639920.36796044,1728629.10970917,1602422.1664706,1483666.12950243,1956490.46850048,2486763.18634522,2661294.21455159,70.6971398514072,55.79924774071,76.4716313221745,49.5165630901269,82.2608537059625,232.181050879096,175.108693473903,129.273847487776,97.0810030583971,260.918661803579,188.473034781706
"66",2.07009710800802,0.408497759455165,0.107423678470773,0.043718942161746,3073.77453217191,0,0,0,37743.8616572655,675340.170137598,1302816.2003892,953914.554422781,845751.360428475,1359868.2793553,2355516.78630207,1517557.53702266,1368176.17480929,1270186.38355837,1685076.80489875,2154520.19847065,1387759.95437499,70.3313516313531,55.3098319616767,76.282118713099,48.9658586918246,81.8889036010362,228.863863792199,130.12113452281,92.5904930049343,85.6279917026831,178.876069504188,146.005902048362
"68",1.87401587499137,0.568072834310707,0.109939543080843,0.0389689319895384,3075.09607985267,0,0,0,41392.5001825237,740631.35617211,1613296.76274585,1191760.292174,1075919.10819422,1761834.90219782,3163529.89602058,2115612.61517375,1965520.6043609,1812164.97318944,2362020.92867201,2923091.48675967,1847248.3554847,76.4194711584147,60.2266812323686,82.7528137244506,53.3938565416146,88.9429782088181,250.035466642858,150.29111922871,107.696479689324,95.9729165527592,209.8619564795,167.345626797582
"72",1.65130252504122,0.555597456362894,0.107826210315925,0.0332470400189857,3073.19461746607,0,0,0,42574.1767096597,761626.813255597,1658822.25847691,1231332.05042723,1118729.39865105,1845616.59128973,3352374.87902899,2243966.2773456,2092896.55333821,1942147.09801428,2559209.4090756,3228216.07968065,2439290.95355826,87.9331531700551,69.1760937504666,95.3486781529364,61.2555810830734,102.376821206462,286.39339199062,182.345134096269,131.961562031715,111.407632828016,260.223290358347,200.814801121828
"73",1.86616506601027,0.612541382619917,0.090212288167053,0.0252426052417128,3075.17548070233,0,0,0,42253.7837300958,756062.549365883,1741071.87431876,1290080.3165048,1169463.09485024,1918061.67270642,3487837.63267392,2336212.53591055,2168105.49562517,1994947.94199977,2588476.40686654,3187524.26835754,2914718.59755314,88.656143190456,68.6403982504543,97.2670571771547,60.13862585535,103.51389724703,277.104875947553,183.869540266153,135.380657027669,103.340292541497,272.412284653303,198.521476616421
"77",1.9583452374064,0.513138798212215,0.103523381807245,0.0399932551308375,3071.51065994009,0,0,0,39973.4675264427,715245.169982652,1501943.48625373,1106273.33625245,992401.861976402,1613856.07155694,2866119.59243779,1888940.57972434,1726839.51806238,1594835.79728115,2089449.06208747,2612301.50072565,1680829.73528714,76.3468145964768,59.8371958950453,83.0153701198515,52.8556129333817,88.9472503122985,246.29543733216,142.340599092869,101.8366643072,91.5276200590085,198.057099645381,158.771770419524
"79",2.03556756107895,0.539709626324208,0.0905331075445075,0.0408472331654983,3074.98847267557,0,0,0,40072.5611971436,717055.84039183,1553661.46697326,1144823.89602732,1027362.32356338,1668164.63599638,2973832.27039274,1959277.73959753,1771241.52814246,1629979.05059568,2120756.98330097,2619149.37091984,1603228.85484412,81.0623397849868,62.7803126009329,88.9158890215934,55.0157647152119,94.642304558776,253.572804952749,135.809166809593,97.0380917743086,87.8162179512867,188.42555255708,151.701976689814
"83",2.12520676222685,0.464611941950176,0.0955643742783428,0.0382920191533873,3072.82729016614,0,0,0,38469.5826294624,688369.400803011,1397900.4392288,1025501.2797629,912630.960229733,1470542.28665827,2573859.90651405,1670925.23619763,1506417.35937582,1390577.63567517,1824638.80073894,2292873.99075805,1582557.84341693,74.5842291127003,58.037296813795,81.528643663667,51.0213385142697,87.0056597724544,236.197878335768,133.467811926779,95.7445425390477,84.8280913049477,186.817509057601,148.435912153626
"85",2.04693149190916,0.495836878563661,0.0936545982716437,0.0443111658487839,3073.98194342412,0,0,0,39285.9932202736,702967.099522249,1467464.77988311,1079246.73886854,964818.719055025,1561701.25537854,2760193.59266071,1804463.74562968,1623445.57782407,1497716.7289532,1960007.16901618,2445093.6266764,1441617.00400423,78.6017057532465,61.0547757783083,86.0318267108212,53.6101066216467,91.7212816836705,247.774776475951,130.935705898821,93.0944690513832,86.4579782716549,179.668755470089,147.049665256576
"87",1.9665358724339,0.482229080834941,0.109029844596867,0.0370182434402855,3071.35337524999,0,0,0,39396.2981385246,704904.535030051,1438784.55624135,1058096.73302467,946483.276979796,1535822.05869212,2708825.49797533,1776677.02540483,1629346.27713609,1508134.72125581,1985730.06450492,2507284.15863335,1782045.37140296,73.2555690535316,57.6886511162875,79.3724462167439,51.1179039256879,85.2724900074943,239.214030554787,146.250080583762,105.133841805252,92.0980367518376,205.659494754433,162.274682478938
"89",2.08553481597243,0.464422034158261,0.10413301451484,0.0241638047052589,3074.60652106799,0,0,0,38612.2329004081,690910.098880556,1393521.21572461,1022396.11197286,910539.419743419,1469605.29494326,2571798.38898561,1674791.07281285,1538572.06206924,1422572.41069084,1872714.600308,2375130.56305432,2547949.94609912,71.387556496316,55.9803276446825,77.5921549135906,49.4662550573847,83.1614908352376,230.6128267517,168.265585206681,124.228893840396,93.2600900419435,250.752285254627,181.095712001432
"90",2.03895597608083,0.528880803579695,0.0916524763055133,0.0321766444921992,3073.26916580216,0,0,0,39875.0094358213,713517.718115028,1531230.90802429,1127731.94289724,1011059.29490113,1640467.14883656,2918001.95794802,1919088.99434381,1748120.45931512,1610253.55072921,2100249.05470236,2612022.89879973,2018622.52538536,80.1879924078328,62.1694282677202,87.8887639886582,54.5195993777335,93.6037615407341,251.536369806943,149.839238668736,108.659698717881,90.6834343474148,214.79585679538,164.635002639031
"93",1.83404983972931,0.511082475664319,0.107147279197987,0.0448673779176553,3072.81356974232,0,0,0,40559.9102010406,725677.501078872,1521397.2596664,1122995.62819384,1010755.40775294,1650891.86055514,2947715.35041515,1948380.45985752,1782295.09198978,1651029.81977126,2172846.20532023,2731497.46032327,1598858.84456732,79.52955911217,62.5286032666024,86.2738572067012,55.3479945448771,92.6026270752379,258.638878805507,145.461554981518,103.344601848143,96.3512610499307,199.265222898546,163.496368755484
"95",1.79690790795601,0.625746558376707,0.0992791523632034,0.0344442511319546,3074.49868217829,0,0,0,42948.7462710514,768476.995903525,1771983.99150534,1314423.75656064,1194767.72806732,1967217.81471471,3586835.95086437,2419793.6281569,2253399.22610054,2074112.98228128,2689808.27354356,3297846.20768379,2234551.33414039,85.7750403502947,66.972569369661,93.5280448799498,59.0100961180341,99.9994606684388,274.032824631529,165.006040755159,119.149779834564,101.838327417498,234.338902862578,182.171612225974
"96",2.01853315272717,0.567269752963172,0.0939548090319523,0.0306177153572417,3074.65140322577,0,0,0,40619.0493417577,726840.119397764,1603177.37891668,1182414.28822948,1063684.32470527,1731610.01984974,3099572.71248106,2056041.8485564,1890369.18329152,1738033.07943712,2256332.94368765,2781903.56548988,2179734.76851265,79.5185878500614,61.7843373417571,87.0175467422656,54.2609407677728,92.7865597278386,250.848087241649,154.809322530376,112.6139784705,92.331001821873,223.434278672968,169.495378417017
"99",1.92352770898939,0.518855016651592,0.0950167677005619,0.0279136866181027,3072.64952463301,0,0,0,40241.9391156171,720037.802487321,1532598.8846215,1130486.74161931,1015814.95622244,1653657.11651852,2951619.70088358,1943354.42287476,1782795.32328328,1648092.29961975,2163209.75615666,2721532.76491688,2452596.25845875,82.75476752059,64.3624632079948,90.4935060009482,56.5626445334263,96.545680316536,261.728198663816,169.702845909745,124.166258429863,98.4231619903354,248.035212205705,184.569978922824
