"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"3110",1.845514258366,0.495498134279866,0.105633131086913,0.0371101553008963,3924.34705989537,0,0,0,45514.1473162742,827324.553934771,1587317.60451921,1168964.14074021,1080243.53122535,1792508.94928875,3357344.3022172,2344638.63468367,2201831.00207056,1720480.86430859,2105346.61111955,2953612.70080414,2435814.2160668,802427.25832704,1118049.72329763,92.2878964189878,64.3170902006321,92.2610999909146,62.0033918830381,96.7345514157467,306.804989230723,184.684473866737,168.142483716012,110.449213958853,231.248308409643,180.651703022053,163.040763343071,146.892413039265
"3111",1.84748870961894,0.561296321071967,0.1079862264578,0.0382501697321389,3925.32680387869,0,0,0,46883.7740886651,852275.30372334,1713435.36675151,1264286.04763741,1174102.21751463,1957031.54599478,3700266.23422426,2620597.47629038,2493719.96007859,1950109.3784787,2378814.1091237,3313910.39351849,2709329.66975849,875357.059543835,1116691.81120741,90.7465359048389,63.3713658045001,90.5833043053841,61.1733230538086,95.0840889539297,303.245975714838,182.214875478133,165.583872491655,109.875385896349,227.212861889477,178.606267482551,161.321236829516,145.69416909871
"3113",1.74377499118356,0.55673670857118,0.0988067116831954,0.0449903345788055,3925.2077552009,0,0,0,47502.2325925208,863448.192745692,1751900.90140029,1296355.11916755,1207796.36341874,2019163.19370016,3847683.83636088,2719187.35396044,2546491.85023052,1992988.28833059,2435834.56670537,3403145.4366004,2790298.59469758,905223.515803615,1004340.98336065,102.51868364942,71.0155371601949,102.948723366623,68.1866519470884,107.575299614717,335.559064434984,181.312178014632,163.140761772212,114.055407633802,221.153123128333,179.658255697513,162.931844967374,148.979547347788
"3118",1.80768040200024,0.502069650593918,0.107943400954274,0.0355526708888064,3925.00308010926,0,0,0,45879.8079764673,833950.778245915,1606252.27145838,1183934.18806391,1095844.34526326,1821974.27003281,3421335.73395075,2395892.53539209,2260628.23728644,1767161.66679159,2163370.50517325,3036567.37236711,2507525.47402305,826454.05482633,1194683.79645825,92.7711955879976,64.7828781598028,92.6068533013334,62.5343704420694,97.2061686066716,309.98280043941,191.96321460938,175.235283479342,113.445557825255,241.779105159192,187.215326789893,168.774484207554,151.53099935332
"3119",1.86572163341342,0.546979399020216,0.100824806166271,0.041705975388134,3923.60798971316,0,0,0,46468.1353517115,844719.172401844,1691746.20285862,1247920.74753287,1157304.99850574,1925150.49819151,3636038.14481975,2560821.4166365,2405230.7221464,1880292.31294448,2294254.49636579,3198358.13389005,2614505.27423544,846439.414807243,1008104.12280123,94.4149609304571,65.5210490481497,94.6841931064188,62.987125139228,99.0395969289014,310.484377344128,174.36513660918,157.611691805535,107.584223378991,214.873966256234,171.913207065514,155.61731707954,141.489198567946
"3120",1.75840884364763,0.524035712077442,0.109593533003779,0.0344283334949037,3925.04755893854,0,0,0,46675.5211758024,848398.997606545,1660941.6243265,1226335.76035872,1138762.97277213,1899849.68342577,3588459.33002846,2527836.46413144,2401448.30200991,1878553.81502174,2299330.00304568,3224547.12222737,2661924.16955289,874169.927039487,1280712.90375276,94.3457179923847,65.9750805455365,94.0798211321264,63.7439782931346,98.8308269202371,316.373158372448,200.072593711356,183.004145375871,117.172071809692,253.106189181373,194.687141773538,175.360557875067,157.028228944012
"3121",1.7554033327049,0.504915397148972,0.107415577816735,0.03860231747796,3926.08849425145,0,0,0,46273.8922031321,841075.410930489,1626622.55306102,1200497.12518642,1113308.28620885,1855007.78225704,3495719.29476634,2451394.32921271,2307928.71935278,1805035.77785591,2211583.80115109,3107516.4436155,2568853.65301999,847302.144952537,1134828.1820797,95.8690596058927,66.9158368155773,95.7315170506254,64.5740801401402,100.460344445695,319.964726894746,191.063398724808,173.526617641852,115.496805790891,237.948070891057,187.396708279673,169.300910999283,153.011600084825
"3123",1.80748832260988,0.617223763123981,0.0912008763884754,0.0339211422654016,3926.15090146948,0,0,0,48350.9831916402,878964.982806286,1879928.0349634,1392530.25448595,1300760.41874221,2176055.12800089,4177341.64517447,2974503.92342484,2818403.74502765,2206189.73002698,2687129.96672618,3728636.84737472,3038421.89284514,969832.737093889,1319031.83020874,104.938611186337,72.1799326557129,105.92420050866,68.9774200516351,110.253386471576,337.243682364438,195.895848578895,179.349837775916,114.242374747428,248.327375194388,190.424567772654,171.453032176266,153.339902762904
"3126",1.86391458241881,0.577201352172995,0.102680679256559,0.042651583240675,3926.69395011681,0,0,0,47108.3141650934,856376.176639866,1751058.06040957,1292751.11199401,1201567.82986092,2003015.84821484,3798231.35878709,2692760.87728042,2544620.01888629,1990033.67761558,2425185.9540525,3370939.92708139,2745162.33823424,881095.242557081,1000412.0052402,93.2638074839809,64.8291829320478,93.4157583169905,62.3902918516733,97.8030459745644,308.002278144531,173.043448875514,156.203764720702,107.389496912308,212.596896291037,170.864594506018,154.754376442102,140.943235427873
"3130",2.11592119771355,0.482547676950805,0.101675378272933,0.0333804161429954,3924.80054865367,0,0,0,43911.8106460487,798314.500464247,1511987.42829579,1107840.02058163,1015380.52890942,1668087.20049267,3077509.18093526,2131044.52569978,1993075.59427034,1553591.71060556,1892897.87936826,2639113.72514887,2156467.3171664,704469.435381625,1077873.49250293,82.7440848920506,57.4654492379657,82.9335569914265,55.2709005356675,86.7852290953159,272.636059859967,168.520249169106,154.441503143638,97.8261652122952,214.096067113677,163.628527268597,147.262995836895,131.528498273797
