"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"880",1.99024931702408,0.511964173814504,0.105515585452687,0.0275532308488405,3441.22713357469,0,0,0,35470.3322386502,717160.993202898,1493202.26541718,1096839.65869457,982946.577040819,1596833.42068471,2831972.80754273,1859721.59962939,1711004.75588243,1567828.56787582,2026458.46051849,2819884.44876302,1611637.99742931,2004911.56455419,74.4421169592681,58.1764049282768,80.4666808704209,51.4477551566532,86.3008381067191,240.110406514537,164.661049104556,120.861246010183,95.3428996519196,241.662063290675,179.342035166749,161.33702963141
"881",2.06056855626319,0.455105197058131,0.112288288170608,0.0317729254317545,3441.80557597965,0,0,0,34352.9016228205,694566.186341741,1375617.35138938,1006862.40928339,896378.969244107,1447377.73997711,2529565.28591657,1642832.31476805,1497928.05124159,1373442.74389806,1781034.01424926,2495491.16698736,1436244.0055479,1637338.82125029,68.7781348074966,54.0671617015271,74.0336273181943,47.9950329895475,79.6607141452704,225.144740643851,148.786626446774,108.217928949589,89.9107629072603,214.123453602214,163.689186409202,147.840050939023
"885",1.97288345345729,0.511432221991705,0.111898685404896,0.0436993339918012,3442.87815854587,0,0,0,35532.8832654673,718419.021988788,1486899.00201717,1092070.97959635,978908.119656621,1591683.38106909,2820486.80655106,1856160.41340166,1694737.72536666,1552964.71672197,2006929.56065614,2788050.95645735,1574855.50641076,1277913.45101809,72.0119543156303,56.5905145714431,77.5329516646351,50.2243233153885,83.4105869341806,235.534978234881,136.311700194972,97.1718266591299,89.8521480749914,187.733075509008,153.221529843499,139.537009816832
"889",1.93782693111206,0.533337787249456,0.0948486314653453,0.0416163504080556,3441.00707636614,0,0,0,36024.9154081955,728364.869440001,1559693.16275167,1148464.43552475,1032719.11901785,1681920.67919668,3009860.94579214,1979920.72952241,1788194.28842378,1638515.69164068,2115474.69502886,2932463.93677139,1653264.64275114,1379285.39180569,82.6489751056473,63.9612427377438,89.9537128951112,56.2041634410102,95.9615049336684,260.031915449017,141.368925767555,101.082239649218,92.0280780562996,196.003858214355,158.4020849578,144.08051773969
"890",1.85006510732906,0.522990837220213,0.110074041788157,0.036556461507668,3439.88172945208,0,0,0,36262.9701242345,733131.531856592,1538201.60228073,1133000.70741939,1020115.9670361,1666796.95848478,2979712.06656892,1968764.03795159,1810102.24140291,1661678.80319609,2152537.65325618,3002163.46376287,1713260.48804259,1635383.72383036,77.6941230160071,60.9603758484092,83.7442791568265,54.0483387551072,90.0144082611662,253.125759111299,155.95649117594,112.424250914071,98.0678370424262,220.127937187636,173.24233016736,157.056752117594
"893",1.74180234508816,0.609049643533625,0.0920221222578924,0.0369818348388971,3441.44771848821,0,0,0,38322.7769127075,774778.443246024,1773570.39856616,1314858.31788226,1196206.08915416,1970564.56383534,3608289.04689017,2414028.41064552,2210738.83289832,2027771.69113141,2614358.09867808,3606834.041605,2025997.21124893,1784770.20500448,94.0438026566894,72.5829624590938,102.548266421246,63.6667847220874,109.237526413558,293.834571098205,164.858109800683,118.754188716318,103.995072197637,232.320336561893,183.274161158965,166.201594787501
"894",1.65950504815109,0.575052511034875,0.113299103918428,0.038345521552151,3442.23228133734,0,0,0,38242.0130683553,773061.45718512,1689953.85302236,1251898.21427534,1138443.09515698,1880252.05745799,3421056.13341246,2294765.58563072,2136103.52932046,1963818.06119189,2544133.99810789,3541261.14428376,2014307.63948816,1779123.42852341,84.8611127596663,66.767369287057,91.2894859298758,59.3014264412676,98.2751318006114,278.388256015365,170.493208733772,122.533071883389,108.61268517376,239.062440257419,190.001539643082,172.464169053823
"896",2.00401964743533,0.545123461153022,0.0936409169352901,0.0263863081613411,3442.38889840209,0,0,0,35920.6825476187,726285.80602462,1568600.65962339,1154148.21836286,1036929.62354313,1686305.09142058,3013861.80623333,1984070.34649866,1817435.39438806,1663460.52012681,2143384.64282755,2964316.33406152,1680291.01339171,2110525.59255395,80.6830786005285,62.3680947005939,87.8843627255953,54.7628157588086,93.6956677235841,253.099351613726,167.040904426101,122.94753855481,95.4336512591462,246.606830101681,181.373606243556,162.964545228701
"899",1.98570458785069,0.492396662982345,0.0933966496408339,0.0376424991780199,3441.39065240582,0,0,0,35187.6648810912,711434.455980312,1476476.18855694,1084791.12355629,971073.517637595,1574467.9394762,2792710.54552557,1819917.67814858,1636252.23101647,1500120.59543834,1941808.61085591,2707948.42824691,1543372.52585117,1459941.2324274,81.5856279551398,63.0510316353993,88.8819025000756,55.3539609024632,94.7472120764392,255.777141179121,143.560942159218,103.297334216986,90.9988760010377,201.813568535598,159.788795011163,144.970728077037
"901",1.84732832662345,0.527962546094087,0.0967093263580304,0.0408540662971253,3440.81724796617,0,0,0,36358.2719283972,735060.306229084,1568402.09918535,1156610.60858403,1042305.38683272,1702484.59248153,3057375.88467217,2013496.02496689,1822325.75442961,1672572.07110352,2165437.6344511,3015775.33006588,1713159.35668641,1469691.11653421,85.4614621597429,66.253929940663,92.9010107482459,58.2858185450138,99.1999619656881,270.09018907506,149.358462159731,106.918016126426,96.7624588877675,207.607476866891,167.151086035861,151.967989785369
