"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"7422",1.50039343919784,0.699942836038846,0.0872815843173756,0.0311986683601533,5101.49131177651,0,0,0,53271.0825937273,968261.947116767,2240749.0008027,1677427.36408502,1592958.72515035,2712244.21411686,5372542.89006116,3893303.19941499,3733147.75086616,2933538.15679703,3549357.15577975,4817396.71698162,3685470.13713444,1975941.08074757,3274447.08095432,4065888.19447957,8864996.75223233,130.657158254788,89.5308681573633,132.245534071496,85.3402389771741,137.366419923363,417.362797969957,245.078891473536,225.583432353067,139.511281720358,314.248320653182,236.779168918373,214.495880014222,203.288215636987,296.353019609919,378.060148769368
"7423",1.61919243704049,0.608996805847597,0.0976471688401111,0.037050170673922,5101.3573918272,0,0,0,49734.7297157393,903982.289563105,1918483.27365563,1426468.97853739,1339946.23251079,2261671.85744673,4380400.07839269,3128572.01727081,2972569.03499185,2331840.09724032,2818793.09722218,3821315.84657093,2904154.69149409,1561482.27062989,2620607.39267055,3324671.3524312,6649169.4981192,111.365633990761,77.062525562349,111.919474668473,73.9407452352634,116.880677503185,364.921789264079,210.747762010603,191.912967139962,125.995396665827,263.933991308752,206.08077762522,187.548061254717,180.311244377962,247.26870402126,313.253918789232
"7425",1.62499528424242,0.647010216218077,0.0870416758530488,0.0329808211008375,5100.95180794758,0,0,0,50586.7554988508,919516.9592062,2034264.85486323,1515451.56431007,1427532.33364093,2411870.80562812,4710099.68114434,3373124.34857008,3198042.99595083,2509347.77579169,3032884.07945541,4111192.01974332,3130230.52119251,1678848.25071735,2798544.51578281,3512695.68906553,7566975.33358393,120.889687832401,82.8184278295634,122.38002017353,78.9294303042789,127.102656095056,385.924648210294,220.71266501724,202.449676691525,127.695564260586,280.859446230021,214.080222985722,194.226850647245,184.951974506327,264.308046184311,336.433841920889
"7426",1.61663852248834,0.687790956778446,0.0886272365577102,0.0273834338220532,5101.4000499916,0,0,0,51645.4830065373,938796.019677741,2139543.01199551,1595722.1052247,1507483.86127114,2553230.20457688,5011172.38788053,3617855.4072293,3482893.56157,2733952.44559323,3304170.80783311,4478940.43964964,3419540.98403275,1829632.8569505,3029948.16528781,3765305.44104976,9321936.82559506,119.871843346579,82.2479620923555,121.214496448892,78.4677359732656,125.998111102786,384.226357912259,241.902664612887,224.489123095822,132.377814699526,315.736689108584,231.527999394537,208.977659903855,195.793919072281,299.201451139431,383.628000870759
"7427",1.53096169802386,0.706931332517217,0.0853838437161385,0.0313868013195984,5101.84648166999,0,0,0,53076.6401089527,964763.908094305,2247975.91856031,1681962.71439759,1596186.68212295,2714586.69740719,5375004.79221253,3894226.19278227,3727477.64940616,2928462.44246604,3542095.29023952,4805475.91677632,3674809.97971227,1968800.26084357,3256710.33500296,4030149.32652157,8663364.39915236,130.197532538803,89.0496382312422,131.957477386831,84.7740789564441,136.928277179231,413.86118230905,239.529194107092,220.392099320316,136.59404118671,306.879681684281,231.516564005163,209.763121161201,198.905618914847,289.338361153315,369.023623956119
"7430",1.81614520835083,0.571447514575061,0.0919654124790526,0.0319745316073323,5101.88232036618,0,0,0,47309.0755966417,859996.815193927,1773806.40748007,1311787.79687739,1221032.4690377,2040067.74160247,3892012.51074689,2744292.6564776,2585773.58297314,2024231.6862995,2442105.48666409,3303007.71443259,2498441.58302133,1340206.59248582,2253555.1540252,2876554.47551587,6752994.18081629,103.789893271452,71.4416675638659,104.709443472969,68.3052964224386,109.032429276152,335.467595077217,200.230335691862,184.018889654379,114.806804466636,255.87989262416,193.787782139654,175.668426079991,166.8405891108,241.084474137534,307.253743188904
"7431",1.67866979110709,0.65668475620781,0.101446600120266,0.0312469960422389,5101.31083427838,0,0,0,50303.391263047,914413.483310999,1998294.82671607,1484972.79085396,1396231.65752327,2357818.9262114,4572336.31227511,3296057.62056349,3192246.88737924,2503856.98154062,3024581.38993824,4097267.62312759,3118233.32148951,1669759.01406318,2775342.47827551,3468141.85684576,7764211.47650558,104.467568088235,72.5375352106782,104.72254112552,69.7579682797415,109.573677109275,345.354942830674,218.896837345239,201.464544247882,124.664065987814,280.617367703615,211.507115810425,191.610318056375,181.622659358408,264.621781347318,337.559653048277
"7432",1.6802936921524,0.661691584379269,0.0985699345974757,0.027779939505035,5101.78845064002,0,0,0,50403.8085334145,916244.156294405,2016822.84487502,1499274.38695864,1410232.13887364,2381420.37974699,4625000.51833302,3333216.06478285,3232497.73930137,2535508.96271213,3062654.63715776,4148921.33113327,3160108.65006479,1690916.01628788,2808127.74088414,3508490.28557952,8740547.65788346,106.578774964673,73.8121349093698,107.042744364484,70.8617086307901,111.839950811717,349.994561300207,231.116333637558,214.286105012925,127.037450303178,301.07094906461,221.434718549332,199.948579324026,187.576684194339,285.15389092337,365.416947448346
"7434",1.51708643064729,0.672947027553246,0.0905312844290712,0.0296551297373915,5101.39557410846,0,0,0,52378.2346197826,952014.558101905,2147406.3545527,1605122.01548828,1520498.14325856,2584532.79706228,5091577.50671043,3676165.22799633,3530165.56999383,2773115.96912806,3354962.78494356,4553535.56256292,3480218.96912384,1867001.38051137,3106587.5617163,3889806.95604151,9113030.17924678,125.716757545373,86.4165345606587,126.956341841757,82.5468076224761,132.098849253695,404.895587527497,248.133202245294,229.122997833223,139.129934176045,320.378479969725,238.861198246308,216.078924287479,203.887093220191,302.709264611477,386.938815468731
"7435",1.56054571712016,0.66972662280097,0.0915583672412814,0.0276009033217278,5101.27299456986,0,0,0,51805.7450854629,941645.799246452,2112717.12540622,1576929.66976719,1490910.25367604,2529374.01369645,4965472.40632415,3581601.46213277,3449624.15430896,2708758.5627903,3275662.47261841,4443759.91237987,3394186.27572223,1819182.76036602,3025588.92649364,3788927.50328114,9503678.77266092,121.18974507523,83.3862965195783,122.297766293819,79.7048233611935,127.319898158706,391.31319642245,249.633465808568,231.548612532985,136.942609059863,325.478090127413,239.064218209671,215.828092638344,202.356156491024,308.343611655177,395.231162041409
