"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"57",2.00781505138754,0.459606770761288,0.0959221423850005,0.037579334126211,3925.58553448771,0,0,0,43955.6673800976,799058.728330425,1498519.35902614,1099429.3992299,1008640.76986878,1659216.04304188,3069517.13741038,2115712.68536981,1955944.15672442,1525475.63667528,1864309.32010548,2613069.10854801,2149082.08735017,709605.559399137,998743.530095466,90.9954544164629,62.8671291836426,91.5542006479093,60.25660597631,95.5287564031147,295.817460884928,168.879757779164,153.633807175451,101.345418598846,211.095248565766,165.33480728608,149.265807353744,134.617078713404
"60",1.80341365704959,0.579807428364649,0.104278921147818,0.0387275008774396,3924.86634584662,0,0,0,47577.1697052292,864869.399150544,1772043.58481031,1309863.55500369,1219874.85761002,2038429.13178221,3877980.55647738,2755199.16542776,2619668.74641266,2049794.15841059,2500328.09066768,3480919.08282351,2844517.35371245,916078.703788631,1139306.68708415,95.3231783455536,66.3539937213351,95.3790711708122,63.9171810573439,99.9373485765746,315.94002437104,185.734226852983,168.652912615996,112.373376441217,231.208804744356,182.209995654218,164.628743512321,148.826920617596
"62",1.77365236105448,0.564371977514551,0.0910974528293935,0.0390620100904304,3925.03844090624,0,0,0,47454.5023374869,862608.615825433,1773301.40954254,1312419.92375114,1222591.48567128,2041510.00041185,3896983.67792318,2749063.55411443,2570279.5117081,2011283.20916534,2456209.78744373,3427405.97936581,2809156.84426908,909803.162164404,1140479.07229564,107.031211108754,73.612034202341,108.044180278291,70.3413128910937,112.453935501562,343.88037935434,188.199136108328,170.800605080354,114.128248938213,234.001965343262,184.736178858671,166.947988697474,151.025565357957
"63",1.99249871632024,0.451331966249327,0.111458824112963,0.0445111182507233,3925.71335808858,0,0,0,43864.5823806217,797390.196478935,1467157.16330108,1075368.58290024,985881.641837277,1622819.60209292,2989177.60509143,2066418.66696434,1922986.33251752,1499775.02206778,1834050.66519163,2573036.10523713,2115758.56372188,699210.042025377,847259.77412318,82.2712056334994,57.6220196537006,81.9428827949834,55.7307253735195,86.1577561383618,276.98611813543,159.306729581706,143.433128586391,99.9437883025885,194.593185272874,157.74327112114,143.019978121788,130.670096638816
"64",1.92923340952034,0.494437365092427,0.108880920497704,0.0388657525041371,3923.77309130107,0,0,0,45027.9916387416,818536.17725257,1561114.26184347,1147474.2987631,1057608.01730914,1749964.72595786,3259742.75258121,2274812.48546583,2138247.41267088,1669565.74157639,2039829.95750882,2854604.9894271,2344422.5736112,768876.34192492,1021197.97446388,86.3918178340905,60.3764253402887,86.187296973714,58.311498855622,90.5087204494924,289.255569503855,173.372252030588,157.393253213371,104.994749040541,215.715049552635,170.12384494891,153.722830365926,139.006763782627
"65",1.95584205405991,0.555094603030752,0.0985648410609875,0.0304864157461801,3925.11202333095,0,0,0,46092.6309510357,837939.013561535,1688216.4734147,1243638.13244862,1151151.31803567,1909810.77580055,3596374.33379514,2531019.61687113,2398731.72852324,1874057.18797759,2282664.94119503,3174232.44072419,2591583.56598066,836567.296425594,1318711.5038967,91.5669120502855,63.4152344546903,91.9658428296365,60.8802065966242,96.0871188452809,299.542690208829,189.913094584591,175.038907487655,107.357411339111,244.290071379281,183.216696476882,164.484567448669,145.77641552319
"66",1.94367159066769,0.499885666685399,0.10286774419907,0.0356491471154749,3922.96396552263,0,0,0,45060.9410811817,819146.157550447,1576773.11676557,1159345.71707459,1068771.11152216,1767686.56216373,3298233.28342969,2299464.45163582,2157193.14020857,1684282.54304031,2056802.87067223,2876090.92154799,2361197.30693406,773434.03871009,1107379.601143,89.3190689612057,62.0974034690293,89.4536485975319,59.767826526265,93.6635280614447,295.099977926352,178.327587351711,162.760433124809,105.467148910856,224.521469475646,173.949715185394,156.826772436767,140.835154825691
"67",1.9405271178838,0.494483702966296,0.0994179983568032,0.0334957230373782,3923.72227068734,0,0,0,44969.5164789459,817479.029971408,1572286.57854082,1156165.13756563,1065576.16500146,1761575.08971491,3287323.56248052,2287026.9942241,2140513.2189951,1671186.24074159,2041525.38844812,2857044.43227816,2349027.63004016,771350.171289827,1177205.20493064,91.7098520357929,63.5633248301796,92.057097149851,61.0537694510213,96.2238030388389,300.608391705377,183.474130441913,168.109837175594,106.612439215746,232.983965135388,178.191598822902,160.384414505151,143.289375582391
"69",1.85570336588632,0.495982823854139,0.0961953836697634,0.0345404845577983,3926.12691850512,0,0,0,45465.3770763592,826445.193116371,1599571.0826861,1178524.93163381,1089102.50064551,1805700.70379956,3388672.68628265,2359394.85053622,2201342.06510856,1719961.72435358,2104320.6582649,2951629.3245648,2434797.52132827,802271.20176232,1194522.9243549,98.248149457639,67.8950029823539,98.8331934026236,65.0866710782519,103.138132370299,319.603793618615,189.317144946181,173.131122096864,110.975454620823,239.392945230197,184.263136831006,165.985747007232,148.673507034873
"71",2.07784304433433,0.484332453356276,0.111165742746675,0.0424797272523142,3926.90564499771,0,0,0,44110.8454396087,801921.21912027,1509173.36619579,1105875.28145249,1014420.86180636,1669523.22017149,3079654.13693025,2140622.09693532,2005448.06435643,1563739.79218179,1906174.90349882,2658426.44534918,2169545.46815291,707527.981197937,864307.890162847,79.0391285870998,55.3446921277924,78.7382040439774,53.5195406068255,82.7766835676665,265.938746686144,155.466023669867,140.371306416825,96.3808603178649,191.106372007317,153.467408626092,138.983602653983,126.541487271136
"72",1.96967264779487,0.482047086980552,0.0962160172779513,0.0318074847768057,3925.39894509778,0,0,0,44574.4364512668,810303.24411578,1547137.71833894,1136792.44633872,1045916.73370583,1725545.43908844,3210984.08379378,2224983.05414412,2074538.38421019,1619009.57454019,1977970.2580651,2769768.49542319,2279093.39631792,750473.818302056,1214192.70805704,92.5486865718729,63.9575698245719,93.0984954067615,61.3128810238213,97.1546673403928,301.07811295445,184.964269823531,170.024770467612,105.878373663218,236.547204980092,178.9829139585,160.870920486053,143.096078674363
"77",1.80878712237551,0.537777738060482,0.0979705617107099,0.0289058548512947,3925.01703190328,0,0,0,46638.3111849483,847771.992134972,1693646.81416289,1250721.71631105,1161217.01756044,1934131.3005046,3662277.06926693,2574779.97510513,2435853.26959514,1904948.48821839,2328015.06081606,3256395.16939165,2682231.57608773,876780.781085277,1491340.10996063,99.4509534102517,68.8381446358917,99.9239001904212,66.0625295415829,104.370451469468,324.880177868191,210.536070695289,194.695973520051,117.125263934571,272.79213125448,202.337560300832,181.382029988453,160.003209609604
"78",1.66600560328795,0.56204969004204,0.097031562071733,0.0397545465988017,3925.86836382863,0,0,0,48221.6572239212,876466.229964539,1793061.96361916,1329738.58264744,1242776.74289933,2084510.21254347,3995633.91618526,2829023.17627425,2660309.85756377,2083614.30800636,2549726.07310202,3569390.33283005,2939372.40562157,957369.69727991,1191508.93625839,108.740272848563,75.2034502029451,109.326214258096,72.1298572002999,114.136795443731,354.439066357019,198.960196721803,180.371784441781,121.221831977525,246.788947842161,195.532020203979,176.783566727866,160.142702902025
"81",1.91628353595965,0.560038258291272,0.0917063076457754,0.0382262577216486,3924.4892291392,0,0,0,46425.1137488239,843969.725181615,1721216.00229442,1269775.72050954,1177330.41304772,1955487.06704882,3700296.77473986,2602159.71130984,2433315.95664826,1901789.2585508,2317326.99888274,3222720.78633039,2627600.80268297,846476.544236905,1076859.23273908,98.5733450822366,67.8342943430265,99.464436654204,64.8455679462969,103.55690718498,317.184411336927,175.717945593208,159.686092303026,105.939793279695,219.130261854234,172.230644647513,155.560120158513,140.484171300044
"82",2.05064107534278,0.456036544882544,0.106268300036998,0.0345791004726682,3924.61747706588,0,0,0,43697.8466453926,794388.546311343,1471122.61216383,1077724.37255417,987085.857262701,1621976.73028527,2984990.69275413,2060572.51560636,1924322.78410331,1500201.67953953,1832326.07771782,2566480.45538882,2109513.13179867,696496.065398572,1060636.72931842,82.6997581728334,57.6666939242863,82.641919378581,55.6124058527895,86.6758248714768,275.316635191467,171.237898635192,156.586679298224,100.409393079387,216.498414883071,166.679561345745,150.150791470666,134.502565167002
"84",1.65256943698073,0.585213698569583,0.107148256430165,0.0344216538760798,3924.8435241718,0,0,0,48874.1843550952,888342.372693755,1830695.80833839,1357938.25245919,1271354.93439134,2137808.08038842,4102391.69152551,2928828.00365481,2809335.16790966,2201140.58636709,2691414.02115468,3761416.92827957,3095731.28792706,1004067.50433137,1400963.73850361,102.016272827659,71.1901755983409,101.887348558513,68.6884525383718,106.906392847037,340.281778032591,212.90414285006,194.743376664008,124.679975546998,269.34618912306,207.170483580196,186.60371225811,167.093328180213
"85",1.84990762040638,0.468882380610993,0.110660454694221,0.0442944798065412,3927.05640288164,0,0,0,44930.7858849066,816699.026394486,1528986.42134059,1124473.49133063,1036591.33877424,1716920.8583265,3196593.20405918,2223179.67546586,2075679.32808448,1621279.56572974,1986437.71776471,2793506.33187918,2306741.78439577,763916.661937011,924026.293371472,89.0647885519885,62.3383533871246,88.7539222449438,60.2658097821238,93.2836149168602,299.348778705628,171.896578152075,154.814016044045,107.709744307496,210.110069593178,170.155241128093,154.255115745388,140.884436091953
"88",1.61637691945812,0.60942703495199,0.0998699744138121,0.0325698723521954,3924.71989082868,0,0,0,49771.2074662719,904643.271090335,1915893.90181872,1424349.82436681,1337923.71345907,2255158.46327654,4361174.13678983,3122079.28397563,2990055.70190334,2344050.64680185,2864907.85814768,3998576.35422855,3288497.96465409,1061826.47784807,1529891.45843106,109.737568690909,76.0891956708045,110.120031537015,73.1049182477732,115.130433600077,360.077803263962,223.01261740659,204.696010823076,128.543123479709,284.282322241059,216.163627381088,194.41447180289,173.282418530967
"91",1.70402828818738,0.563673683567005,0.110361263813919,0.0306415154117345,3925.83325874549,0,0,0,47957.4606575287,871699.040098553,1759102.48325403,1302007.79048974,1214784.75411389,2036227.33594876,3880176.20176299,2758752.76254242,2652918.62248936,2077190.21128488,2540173.05149422,3553716.14393477,2929568.7850717,954836.217832107,1510994.6421555,96.8752555443212,67.7879661559049,96.5553472007079,65.5234220035314,101.468685200696,325.391615433693,217.468321201406,200.372178882156,123.120055457694,279.541075435639,209.876463889433,188.445013639975,167.085224663486
